epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3653,1.57996,3.6768,1.19002,0.37209,0.14959,0.12289,0.06978,1.63602,2.5246,1.18857,0.000150769,0.000150769,0.000150769
2,30.7901,1.52,2.3207,1.19157,0.55562,0.1902,0.20482,0.11163,1.63547,1.82273,1.23658,0.000298693,0.000298693,0.000298693
3,43.9992,1.49554,1.97471,1.19038,0.50696,0.23448,0.22692,0.12398,1.67881,1.88279,1.27025,0.000442864,0.000442864,0.000442864
4,56.9117,1.44843,1.834,1.17947,0.45881,0.26578,0.27913,0.15244,1.59334,1.56638,1.21217,0.000438108,0.000438108,0.000438108
5,69.7208,1.43737,1.74258,1.1658,0.53246,0.28902,0.27766,0.15516,1.53193,1.56405,1.17706,0.000432478,0.000432478,0.000432478
6,82.3848,1.4149,1.64288,1.14962,0.44816,0.34291,0.30519,0.16475,1.60465,1.55022,1.19975,0.000426847,0.000426847,0.000426847
7,95.2872,1.39179,1.58331,1.14419,0.55814,0.31413,0.30371,0.16717,1.58302,1.5373,1.19728,0.000421216,0.000421216,0.000421216
8,107.971,1.38792,1.54563,1.14555,0.58219,0.32649,0.32527,0.17587,1.64423,1.47197,1.21024,0.000415586,0.000415586,0.000415586
9,120.838,1.36654,1.49998,1.13495,0.47042,0.35588,0.36988,0.21197,1.50635,1.45904,1.16652,0.000409955,0.000409955,0.000409955
10,133.63,1.36682,1.46593,1.13804,0.62575,0.35056,0.35158,0.19494,1.55049,1.38553,1.16474,0.000404324,0.000404324,0.000404324
11,146.609,1.34152,1.39722,1.11934,0.55097,0.33145,0.34468,0.18663,1.63633,1.39922,1.21566,0.000398694,0.000398694,0.000398694
12,159.459,1.34087,1.38779,1.11691,0.65985,0.33026,0.36511,0.21507,1.38909,1.3544,1.11874,0.000393063,0.000393063,0.000393063
13,172.692,1.31103,1.33489,1.10663,0.57107,0.30835,0.33901,0.19815,1.45846,1.39053,1.13969,0.000387433,0.000387433,0.000387433
14,185.563,1.32013,1.33166,1.11186,0.55025,0.34969,0.36426,0.21207,1.41833,1.31272,1.12421,0.000381802,0.000381802,0.000381802
15,198.139,1.30739,1.30768,1.10108,0.59909,0.38611,0.36955,0.20961,1.54334,1.33512,1.16928,0.000376171,0.000376171,0.000376171
16,211.031,1.28888,1.27423,1.09769,0.54967,0.35285,0.37208,0.2194,1.38629,1.30673,1.12092,0.000370541,0.000370541,0.000370541
17,223.927,1.30581,1.26466,1.09863,0.47306,0.42959,0.39646,0.22556,1.48244,1.30719,1.15112,0.00036491,0.00036491,0.00036491
18,236.642,1.28371,1.23791,1.09494,0.59677,0.34317,0.3611,0.21236,1.4496,1.30877,1.12773,0.000359279,0.000359279,0.000359279
19,249.523,1.28741,1.22666,1.09016,0.62575,0.40251,0.41432,0.2438,1.42363,1.34114,1.12875,0.000353649,0.000353649,0.000353649
20,262.36,1.27904,1.20946,1.09224,0.60454,0.38796,0.40674,0.23678,1.36793,1.24215,1.10466,0.000348018,0.000348018,0.000348018
21,275.246,1.2565,1.18289,1.08051,0.60046,0.41272,0.42233,0.23815,1.53435,1.28364,1.15551,0.000342387,0.000342387,0.000342387
22,288.658,1.25651,1.17579,1.07968,0.59831,0.42093,0.4332,0.24493,1.43685,1.27127,1.12269,0.000336757,0.000336757,0.000336757
23,301.855,1.26502,1.15455,1.08236,0.58607,0.41833,0.43013,0.25385,1.41644,1.2869,1.12593,0.000331126,0.000331126,0.000331126
24,314.917,1.2485,1.14294,1.07355,0.58688,0.37736,0.38989,0.22755,1.35308,1.31101,1.10554,0.000325496,0.000325496,0.000325496
25,327.906,1.23885,1.13364,1.06806,0.58632,0.34484,0.38153,0.21424,1.48013,1.31715,1.1518,0.000319865,0.000319865,0.000319865
26,340.669,1.24996,1.12907,1.07457,0.62614,0.39328,0.43926,0.25371,1.41278,1.24636,1.11882,0.000314234,0.000314234,0.000314234
27,353.85,1.23401,1.10148,1.06725,0.61176,0.41382,0.42305,0.24228,1.43941,1.23283,1.12798,0.000308604,0.000308604,0.000308604
28,366.945,1.23193,1.09895,1.0677,0.63942,0.4055,0.43412,0.25562,1.33709,1.20716,1.09664,0.000302973,0.000302973,0.000302973
29,379.729,1.23573,1.09398,1.06873,0.59771,0.37102,0.40633,0.22956,1.4191,1.22554,1.1221,0.000297342,0.000297342,0.000297342
30,392.376,1.2234,1.07392,1.06308,0.63877,0.37622,0.39377,0.22789,1.39941,1.25619,1.11882,0.000291712,0.000291712,0.000291712
31,405.117,1.2142,1.06915,1.05787,0.6025,0.41083,0.44889,0.26153,1.38909,1.17405,1.10268,0.000286081,0.000286081,0.000286081
32,417.563,1.20692,1.05544,1.05923,0.62319,0.42478,0.43161,0.24721,1.42617,1.229,1.11824,0.000280451,0.000280451,0.000280451
33,430.166,1.21567,1.05252,1.05782,0.46154,0.44144,0.40258,0.24069,1.318,1.2159,1.08845,0.00027482,0.00027482,0.00027482
34,442.564,1.20275,1.03827,1.05461,0.52644,0.44575,0.42516,0.24276,1.39597,1.20949,1.11501,0.000269189,0.000269189,0.000269189
35,454.982,1.18974,1.01488,1.04631,0.70988,0.37582,0.42155,0.24123,1.43166,1.19635,1.13209,0.000263559,0.000263559,0.000263559
36,467.332,1.17352,1.00394,1.04252,0.56033,0.44744,0.41772,0.24377,1.36943,1.24355,1.10521,0.000257928,0.000257928,0.000257928
