epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7976,1.65755,3.07213,1.25662,0.40013,0.17199,0.15047,0.08748,1.57307,1.78953,1.20937,0.000177881,0.000177881,0.000177881
2,29.7099,1.60843,1.90589,1.25021,0.43189,0.23262,0.20271,0.11721,1.5412,1.58522,1.24421,0.000347869,0.000347869,0.000347869
3,43.2764,1.56185,1.63735,1.24469,0.4504,0.27344,0.25732,0.15235,1.5335,1.40098,1.237,0.000432477,0.000432477,0.000432477
4,56.7459,1.52069,1.53341,1.22795,0.48017,0.33541,0.30526,0.18356,1.60974,1.43039,1.27851,0.000421216,0.000421216,0.000421216
5,70.4821,1.5021,1.44733,1.218,0.45913,0.33097,0.29534,0.17372,1.53388,1.38873,1.2408,0.000409954,0.000409954,0.000409954
6,84.0343,1.48035,1.3715,1.20249,0.52197,0.30123,0.312,0.18585,1.46874,1.27437,1.20331,0.000398693,0.000398693,0.000398693
7,97.5905,1.4673,1.31593,1.19397,0.54794,0.36602,0.37881,0.23563,1.44715,1.18922,1.19483,0.000387431,0.000387431,0.000387431
8,111.096,1.4351,1.2663,1.18422,0.51563,0.37302,0.3848,0.24155,1.44973,1.1894,1.19738,0.00037617,0.00037617,0.00037617
9,124.652,1.41787,1.21571,1.17472,0.55869,0.38146,0.37385,0.23084,1.40268,1.16395,1.17989,0.000364908,0.000364908,0.000364908
10,138.318,1.40023,1.18942,1.17057,0.4478,0.40497,0.35944,0.22129,1.40112,1.16469,1.17966,0.000353647,0.000353647,0.000353647
11,151.841,1.39894,1.16462,1.16629,0.49615,0.42351,0.371,0.22956,1.39897,1.14077,1.17985,0.000342385,0.000342385,0.000342385
12,165.349,1.39099,1.13125,1.1606,0.59536,0.33068,0.38984,0.23875,1.40506,1.16048,1.17715,0.000331124,0.000331124,0.000331124
13,178.842,1.36474,1.11191,1.15572,0.5961,0.40906,0.41963,0.25593,1.4123,1.12633,1.18809,0.000319862,0.000319862,0.000319862
14,192.352,1.36067,1.0858,1.15075,0.55055,0.37268,0.40946,0.25252,1.42434,1.08628,1.19516,0.000308601,0.000308601,0.000308601
15,206.083,1.35638,1.06086,1.14975,0.63493,0.3679,0.42717,0.26187,1.4295,1.0992,1.18677,0.000297339,0.000297339,0.000297339
16,219.557,1.33778,1.03949,1.14089,0.55603,0.41338,0.43673,0.27529,1.42637,1.07024,1.19287,0.000286078,0.000286078,0.000286078
17,233.07,1.32688,1.02834,1.1372,0.60257,0.43028,0.44647,0.2788,1.40492,1.04728,1.17089,0.000274816,0.000274816,0.000274816
18,246.592,1.31644,1.00035,1.13118,0.64073,0.37658,0.4381,0.27211,1.3836,1.02513,1.16455,0.000263555,0.000263555,0.000263555
19,260.231,1.30975,0.98306,1.12538,0.67692,0.38416,0.44157,0.26862,1.41344,1.03809,1.17989,0.000252293,0.000252293,0.000252293
20,273.629,1.29506,0.96,1.12367,0.60626,0.43544,0.45267,0.28455,1.36669,1.02678,1.15625,0.000241032,0.000241032,0.000241032
21,287.12,1.29465,0.95655,1.11946,0.66473,0.39344,0.4477,0.26906,1.44522,1.03601,1.18744,0.00022977,0.00022977,0.00022977
22,300.58,1.2884,0.94052,1.11802,0.59982,0.43461,0.45876,0.27648,1.42532,1.01245,1.18412,0.000218509,0.000218509,0.000218509
23,314.052,1.27462,0.92608,1.11594,0.58587,0.43264,0.45484,0.27909,1.37527,1.00384,1.16242,0.000207247,0.000207247,0.000207247
24,327.684,1.25995,0.90935,1.10584,0.67397,0.41091,0.46467,0.27518,1.44376,1.03558,1.18868,0.000195986,0.000195986,0.000195986
25,341.173,1.25177,0.90168,1.09965,0.4112,0.46668,0.41178,0.24346,1.42636,1.05527,1.1961,0.000184725,0.000184725,0.000184725
26,354.7,1.24268,0.89146,1.09872,0.61915,0.40956,0.45717,0.28062,1.3811,1.00162,1.17178,0.000173463,0.000173463,0.000173463
27,368.22,1.23373,0.87217,1.09684,0.61343,0.42961,0.46117,0.28156,1.42212,1.02573,1.17798,0.000162202,0.000162202,0.000162202
28,381.702,1.23937,0.8673,1.09752,0.64121,0.4001,0.45866,0.28016,1.40774,1.0199,1.17959,0.00015094,0.00015094,0.00015094
29,395.396,1.22715,0.85076,1.0903,0.63921,0.42979,0.47522,0.29059,1.3831,0.99515,1.16758,0.000139679,0.000139679,0.000139679
30,408.922,1.20803,0.83948,1.08611,0.55547,0.4677,0.46175,0.28369,1.39005,0.99518,1.17224,0.000128417,0.000128417,0.000128417
31,423.337,1.223,0.83604,1.07808,0.4711,0.43516,0.4542,0.27338,1.47985,1.04607,1.20463,0.000117156,0.000117156,0.000117156
32,437.043,1.19646,0.80092,1.06517,0.66034,0.38708,0.4698,0.28716,1.38877,1.00519,1.16782,0.000105894,0.000105894,0.000105894
33,450.76,1.18673,0.78703,1.06012,0.54163,0.41309,0.46166,0.28519,1.38506,0.9901,1.16679,9.46327e-05,9.46327e-05,9.46327e-05
34,464.126,1.17744,0.77244,1.06143,0.61213,0.4272,0.47357,0.28957,1.3844,0.99509,1.16542,8.33712e-05,8.33712e-05,8.33712e-05
35,477.461,1.17305,0.76444,1.06098,0.61907,0.41592,0.49931,0.28993,1.38538,0.98051,1.16247,7.21098e-05,7.21098e-05,7.21098e-05
36,490.774,1.16961,0.74796,1.05504,0.64461,0.41534,0.54009,0.30297,1.37739,0.99681,1.15922,6.08483e-05,6.08483e-05,6.08483e-05
37,504.277,1.15376,0.74308,1.05001,0.67554,0.38692,0.50578,0.28784,1.37749,0.99823,1.16186,4.95868e-05,4.95868e-05,4.95868e-05
38,517.595,1.14479,0.72744,1.04501,0.67194,0.38581,0.53856,0.29456,1.38085,0.99285,1.16227,3.83253e-05,3.83253e-05,3.83253e-05
39,530.898,1.1386,0.72765,1.04336,0.63242,0.42468,0.54087,0.29386,1.39388,0.97858,1.16834,2.70639e-05,2.70639e-05,2.70639e-05
40,544.204,1.13329,0.71778,1.0435,0.61551,0.41167,0.54587,0.29439,1.40396,0.98191,1.17094,1.58024e-05,1.58024e-05,1.58024e-05
