fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.30727,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.31495,0.01,0.01054,0.937,0.00063,2.95142,0.95,8.95013,0.42895,1.61663,0.015,0.72323,0.37082,0.0,0.11446,0.5,0.0,0.0,0.0,0.43414,0.0,1.0,0.0,0.0,0.0
0.32668,0.00955,0.00998,0.97997,0.00054,2.54319,0.94159,7.99327,0.42895,1.61663,0.01156,0.75561,0.31895,0.0,0.10405,0.4834,0.0,0.0,0.0,0.40892,0.0,1.0,0.0,0.0,0.0
0.29649,0.0098,0.00911,0.97997,0.00054,2.52524,0.89648,7.78068,0.42895,1.4875,0.01168,0.75237,0.30081,0.0,0.10285,0.4623,0.0,0.0,0.0,0.40322,0.0,1.0,0.0,0.0,0.0
0.30534,0.00897,0.00959,0.97997,0.00046,2.44968,0.88286,7.51082,0.4392,1.69614,0.01085,0.75561,0.34193,0.0,0.09717,0.49901,0.0,0.0,0.0,0.40892,0.0,1.0,0.0,0.0,0.0
0.29567,0.01045,0.01113,0.93175,0.00065,2.95142,0.88813,8.95013,0.42895,1.53866,0.01375,0.64715,0.28491,0.0,0.11446,0.5,0.0,0.0,0.0,0.43362,0.0,0.88803,0.0,0.0,0.0
0.3121,0.00911,0.00998,0.98,0.00053,3.0316,0.95,8.30746,0.42111,1.59002,0.0124,0.75561,0.32217,0.0,0.10405,0.50701,0.0,0.0,0.0,0.36501,0.0,1.0,0.0,0.0,0.0
0.30138,0.01011,0.00998,0.97997,0.00054,2.61853,0.88751,6.82134,0.45206,1.77405,0.01102,0.8028,0.34024,0.0,0.10405,0.46383,0.0,0.0,0.0,0.48587,0.0,0.93656,0.0,0.0,0.0
0.31415,0.00954,0.00998,0.98,0.00054,2.54319,0.94159,7.99327,0.42764,1.61737,0.01153,0.75603,0.31812,0.0,0.10403,0.48333,0.0,0.0,0.0,0.40892,0.0,1.0,0.0,0.0,0.0
0.30848,0.00906,0.01,0.98,0.00054,3.08459,0.95,8.27198,0.4169,1.59002,0.0124,0.75561,0.32217,0.0,0.10405,0.5121,0.0,0.0,0.0,0.36302,0.0,1.0,0.0,0.0,0.0
