epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3273,1.60693,3.63489,1.19433,0.30809,0.16353,0.13639,0.07709,1.6007,2.24009,1.17501,0.000150873,0.000150873,0.000150873
2,31.4417,1.56679,2.27903,1.19308,0.52345,0.20336,0.22346,0.11804,1.67019,1.76821,1.21257,0.000296549,0.000296549,0.000296549
3,46.0809,1.5028,1.95128,1.18424,0.43444,0.25706,0.24782,0.12732,1.7718,1.70945,1.27321,0.000436219,0.000436219,0.000436219
4,60.6807,1.47569,1.81926,1.17396,0.54542,0.26766,0.27426,0.15298,1.56886,1.62907,1.19486,0.000427973,0.000427973,0.000427973
5,75.0587,1.44638,1.71155,1.14979,0.56944,0.29207,0.29797,0.16469,1.64816,1.54701,1.22525,0.000418964,0.000418964,0.000418964
6,89.6546,1.4471,1.64447,1.14517,0.59339,0.29671,0.32824,0.18539,1.55939,1.48068,1.16894,0.000409955,0.000409955,0.000409955
7,104.312,1.42502,1.5837,1.14483,0.48249,0.32863,0.32565,0.1815,1.60085,1.45394,1.17574,0.000400946,0.000400946,0.000400946
8,119.324,1.39177,1.52513,1.12902,0.47314,0.36572,0.33015,0.19323,1.47235,1.47627,1.1482,0.000391937,0.000391937,0.000391937
9,134.051,1.38704,1.4815,1.13242,0.47861,0.32398,0.32209,0.17963,1.59903,1.48575,1.19851,0.000382928,0.000382928,0.000382928
10,148.423,1.37045,1.42553,1.1139,0.59491,0.35713,0.38137,0.21918,1.54782,1.4364,1.17313,0.000373919,0.000373919,0.000373919
11,162.39,1.34532,1.3823,1.11131,0.55829,0.39064,0.40211,0.23945,1.43378,1.35348,1.12993,0.00036491,0.00036491,0.00036491
12,176.855,1.35621,1.37062,1.11041,0.59635,0.36193,0.38458,0.23439,1.40565,1.34167,1.11272,0.000355901,0.000355901,0.000355901
13,191.028,1.32763,1.32235,1.10008,0.53501,0.41414,0.39565,0.24502,1.36998,1.31139,1.11691,0.000346892,0.000346892,0.000346892
14,205.329,1.324,1.28628,1.09437,0.67574,0.34782,0.3946,0.23455,1.44662,1.39693,1.14051,0.000337883,0.000337883,0.000337883
15,219.48,1.31852,1.28001,1.09106,0.52937,0.41899,0.41265,0.23879,1.51609,1.3534,1.16578,0.000328874,0.000328874,0.000328874
16,234.011,1.2976,1.23642,1.08387,0.53044,0.42635,0.41606,0.24193,1.45741,1.28167,1.13643,0.000319865,0.000319865,0.000319865
17,248.523,1.28649,1.21909,1.07865,0.58183,0.39581,0.40416,0.23484,1.4483,1.32296,1.12259,0.000310856,0.000310856,0.000310856
18,263.15,1.29336,1.20421,1.08412,0.63197,0.39461,0.42217,0.25452,1.36729,1.25533,1.10819,0.000301847,0.000301847,0.000301847
19,277.325,1.2776,1.18491,1.07375,0.69617,0.36945,0.42058,0.24367,1.48829,1.28114,1.14644,0.000292838,0.000292838,0.000292838
20,291.696,1.28403,1.16994,1.07274,0.52071,0.39291,0.42731,0.2601,1.37019,1.29697,1.10782,0.000283829,0.000283829,0.000283829
21,306.048,1.27718,1.15387,1.07371,0.60101,0.40158,0.4339,0.25413,1.42971,1.27563,1.14367,0.00027482,0.00027482,0.00027482
22,320.343,1.25874,1.13782,1.06952,0.66901,0.40674,0.45715,0.27564,1.34299,1.2413,1.09638,0.000265811,0.000265811,0.000265811
23,334.781,1.24592,1.11726,1.06495,0.66828,0.38434,0.44582,0.25883,1.3783,1.21364,1.09675,0.000256802,0.000256802,0.000256802
24,349.377,1.23895,1.1001,1.06307,0.59386,0.38476,0.41838,0.25379,1.36639,1.27529,1.10316,0.000247793,0.000247793,0.000247793
25,363.69,1.23237,1.07599,1.05696,0.56935,0.40987,0.45543,0.26935,1.34173,1.21538,1.09166,0.000238784,0.000238784,0.000238784
26,377.766,1.23834,1.08303,1.05433,0.64946,0.40386,0.4614,0.27139,1.38015,1.1907,1.09959,0.000229775,0.000229775,0.000229775
27,392.131,1.22507,1.05907,1.04755,0.60747,0.38386,0.44548,0.26558,1.36881,1.21408,1.09349,0.000220766,0.000220766,0.000220766
28,406.226,1.22036,1.05129,1.05033,0.55593,0.38598,0.44151,0.25163,1.42509,1.26386,1.11845,0.000211757,0.000211757,0.000211757
29,420.589,1.21393,1.03801,1.04661,0.56069,0.39965,0.44473,0.25664,1.41576,1.23338,1.12399,0.000202748,0.000202748,0.000202748
30,434.725,1.21948,1.03969,1.04563,0.63289,0.40293,0.45026,0.26437,1.39079,1.21915,1.101,0.000193739,0.000193739,0.000193739
31,449.109,1.21943,1.01889,1.04035,0.62884,0.42884,0.45057,0.26046,1.38701,1.21421,1.10387,0.00018473,0.00018473,0.00018473
32,463.641,1.18268,1.00306,1.03515,0.54715,0.45547,0.4564,0.26722,1.38942,1.17572,1.10372,0.000175721,0.000175721,0.000175721
