epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.762,1.57165,3.39222,1.20165,0.51861,0.16397,0.12833,0.06928,1.6494,2.14664,1.20719,0.000132544,0.000132544,0.000132544
2,83.7378,1.47558,2.21829,1.18161,0.54189,0.20575,0.19797,0.11097,1.60527,1.79455,1.20908,0.000260613,0.000260613,0.000260613
3,116.206,1.46606,1.98332,1.18076,0.55519,0.22323,0.21103,0.12023,1.55176,1.71224,1.20854,0.000383402,0.000383402,0.000383402
4,148.034,1.43503,1.84634,1.17399,0.55807,0.2594,0.24922,0.1371,1.63613,1.64607,1.21915,0.00037624,0.00037624,0.00037624
5,179.747,1.41075,1.75882,1.15527,0.57095,0.25944,0.25286,0.14723,1.50906,1.56214,1.17646,0.00036832,0.00036832,0.00036832
6,211.473,1.39628,1.66013,1.14382,0.55568,0.29743,0.2781,0.15765,1.55209,1.55918,1.19135,0.0003604,0.0003604,0.0003604
7,244.391,1.37323,1.60718,1.13702,0.52067,0.30718,0.27655,0.16014,1.48556,1.55079,1.15706,0.00035248,0.00035248,0.00035248
8,276.065,1.36573,1.56698,1.14008,0.52648,0.29981,0.28566,0.16164,1.59913,1.50468,1.20044,0.00034456,0.00034456,0.00034456
9,307.896,1.34341,1.52716,1.12641,0.5377,0.32831,0.31746,0.18742,1.47095,1.50198,1.15607,0.00033664,0.00033664,0.00033664
10,339.788,1.34873,1.49318,1.13139,0.5849,0.30378,0.31581,0.18304,1.46468,1.37169,1.14314,0.00032872,0.00032872,0.00032872
11,371.716,1.32376,1.43368,1.11354,0.52563,0.31349,0.29522,0.16571,1.53395,1.49174,1.18226,0.0003208,0.0003208,0.0003208
12,403.602,1.31841,1.42165,1.11339,0.60851,0.31654,0.31357,0.1841,1.41023,1.40928,1.13488,0.00031288,0.00031288,0.00031288
13,435.277,1.29825,1.36997,1.10485,0.63302,0.30843,0.32402,0.19435,1.37073,1.36251,1.10405,0.00030496,0.00030496,0.00030496
14,467.169,1.29999,1.35197,1.10175,0.68134,0.30033,0.33638,0.19207,1.43293,1.38622,1.13296,0.00029704,0.00029704,0.00029704
15,499.103,1.29007,1.34977,1.09685,0.69297,0.29385,0.36657,0.21469,1.40456,1.33616,1.12347,0.00028912,0.00028912,0.00028912
16,530.724,1.2755,1.3147,1.09286,0.69386,0.30455,0.35674,0.20014,1.43772,1.30873,1.13394,0.0002812,0.0002812,0.0002812
17,562.641,1.28933,1.30557,1.09337,0.65803,0.32993,0.36142,0.21295,1.4234,1.2981,1.12829,0.00027328,0.00027328,0.00027328
18,594.272,1.26005,1.27332,1.08851,0.55892,0.31988,0.34912,0.20355,1.42243,1.30371,1.13417,0.00026536,0.00026536,0.00026536
19,626.408,1.272,1.26525,1.08798,0.71272,0.30544,0.36172,0.2116,1.40526,1.30336,1.12093,0.00025744,0.00025744,0.00025744
20,658.246,1.26162,1.2442,1.08535,0.6447,0.36102,0.39952,0.2368,1.35653,1.30397,1.11146,0.00024952,0.00024952,0.00024952
21,690.045,1.23425,1.20979,1.07456,0.66792,0.31244,0.37863,0.21506,1.44392,1.30052,1.13776,0.0002416,0.0002416,0.0002416
22,721.933,1.2333,1.21263,1.07216,0.65234,0.31651,0.37096,0.21925,1.39052,1.27303,1.1172,0.00023368,0.00023368,0.00023368
23,753.784,1.2416,1.1873,1.0739,0.6427,0.34588,0.38919,0.22583,1.37492,1.27633,1.1168,0.00022576,0.00022576,0.00022576
24,785.767,1.22887,1.16906,1.06563,0.6181,0.32483,0.37066,0.22101,1.33711,1.26721,1.09414,0.00021784,0.00021784,0.00021784
25,817.371,1.21646,1.16171,1.06228,0.55356,0.36949,0.37211,0.21903,1.38023,1.3144,1.11852,0.00020992,0.00020992,0.00020992
26,849.268,1.23691,1.15892,1.06874,0.54418,0.37846,0.37597,0.21335,1.4714,1.2998,1.14338,0.000202,0.000202,0.000202
27,881.051,1.20878,1.12523,1.05897,0.62916,0.33573,0.37549,0.22131,1.36391,1.2632,1.10892,0.00019408,0.00019408,0.00019408
28,913.077,1.21121,1.12142,1.05845,0.55756,0.40919,0.3814,0.22226,1.41594,1.26011,1.12337,0.00018616,0.00018616,0.00018616
29,944.811,1.21502,1.11892,1.06068,0.63884,0.32382,0.36576,0.21519,1.35167,1.25729,1.10762,0.00017824,0.00017824,0.00017824
30,976.688,1.20675,1.1012,1.05776,0.64103,0.30511,0.3884,0.22797,1.38794,1.2561,1.11566,0.00017032,0.00017032,0.00017032
31,1008.52,1.19584,1.09651,1.05179,0.69266,0.33318,0.39291,0.23334,1.37622,1.22082,1.10955,0.0001624,0.0001624,0.0001624
32,1040.22,1.18642,1.08033,1.05206,0.64832,0.32608,0.38238,0.22311,1.39432,1.22881,1.10833,0.00015448,0.00015448,0.00015448
33,1071.78,1.18981,1.0734,1.04982,0.65022,0.3292,0.37307,0.22186,1.34785,1.26868,1.11038,0.00014656,0.00014656,0.00014656
34,1103.57,1.18372,1.06517,1.04878,0.6373,0.32728,0.38476,0.22739,1.36182,1.21897,1.1076,0.00013864,0.00013864,0.00013864
35,1135.36,1.1678,1.04233,1.03998,0.63087,0.33491,0.37887,0.22535,1.35441,1.2063,1.1037,0.00013072,0.00013072,0.00013072
36,1166.87,1.15929,1.03183,1.03788,0.73294,0.31546,0.38785,0.2279,1.36891,1.22508,1.1072,0.0001228,0.0001228,0.0001228
37,1198.66,1.17008,1.03525,1.04095,0.62776,0.32956,0.38579,0.23077,1.31715,1.19603,1.08832,0.00011488,0.00011488,0.00011488
38,1230.09,1.16458,1.02021,1.03446,0.71044,0.31692,0.39219,0.23002,1.36396,1.20744,1.10259,0.00010696,0.00010696,0.00010696
39,1261.54,1.15624,1.02439,1.03766,0.56736,0.37303,0.39406,0.23023,1.38371,1.21081,1.1094,9.904e-05,9.904e-05,9.904e-05
40,1293.37,1.16702,1.00909,1.03165,0.54107,0.38818,0.38423,0.22596,1.35755,1.2022,1.10031,9.112e-05,9.112e-05,9.112e-05
