epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.704,1.55525,3.48523,1.2066,0.50994,0.15535,0.11528,0.06016,1.69756,2.20528,1.26469,0.000132544,0.000132544,0.000132544
2,29.3849,1.48248,2.25381,1.20177,0.51772,0.19438,0.18079,0.09911,1.64949,1.89536,1.27103,0.000262587,0.000262587,0.000262587
3,40.3973,1.46941,2.06157,1.18794,0.57242,0.24492,0.22756,0.12806,1.56686,1.69145,1.18203,0.000389331,0.000389331,0.000389331
4,51.6551,1.45718,1.91399,1.18613,0.54608,0.22736,0.21667,0.1214,1.58993,1.73087,1.21216,0.00038515,0.00038515,0.00038515
5,62.9443,1.43082,1.80354,1.17602,0.58043,0.2433,0.24891,0.13671,1.5641,1.58686,1.19471,0.0003802,0.0003802,0.0003802
6,73.3213,1.39788,1.71495,1.16547,0.63656,0.26364,0.26783,0.14916,1.5704,1.59211,1.2107,0.00037525,0.00037525,0.00037525
7,83.7102,1.38185,1.64967,1.14522,0.58833,0.26477,0.28879,0.16241,1.53899,1.5342,1.17961,0.0003703,0.0003703,0.0003703
8,94.1949,1.36876,1.61577,1.14369,0.55985,0.37709,0.31731,0.18408,1.4986,1.46893,1.15496,0.00036535,0.00036535,0.00036535
9,105.193,1.34491,1.52053,1.12961,0.58149,0.36031,0.32027,0.17668,1.59575,1.53386,1.19468,0.0003604,0.0003604,0.0003604
10,115.59,1.34625,1.51692,1.12975,0.57679,0.31738,0.30008,0.16895,1.51077,1.45946,1.17729,0.00035545,0.00035545,0.00035545
11,126.274,1.31536,1.47588,1.11658,0.57775,0.32803,0.3062,0.16955,1.54206,1.43329,1.1762,0.0003505,0.0003505,0.0003505
12,136.968,1.32537,1.42677,1.11847,0.5191,0.37381,0.34157,0.19961,1.52261,1.45964,1.17181,0.00034555,0.00034555,0.00034555
13,147.742,1.33188,1.43693,1.11515,0.64843,0.29491,0.33987,0.19576,1.42203,1.37804,1.12777,0.0003406,0.0003406,0.0003406
