epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0765,1.55468,3.41903,1.21157,0.48852,0.213,0.1515,0.08145,1.66162,2.06429,1.24111,0.000132544,0.000132544,0.000132544
2,24.4062,1.48208,2.18247,1.20658,0.5807,0.22372,0.23278,0.1289,1.64429,1.72983,1.22854,0.000262587,0.000262587,0.000262587
3,35.3683,1.46774,1.97113,1.18882,0.56494,0.27871,0.27321,0.15251,1.59473,1.63367,1.19754,0.000389331,0.000389331,0.000389331
4,46.1904,1.45178,1.83317,1.18562,0.53342,0.27505,0.26968,0.15086,1.57047,1.61679,1.2141,0.00038515,0.00038515,0.00038515
5,56.4936,1.43101,1.71931,1.17773,0.53026,0.29715,0.29019,0.15554,1.58562,1.50194,1.19485,0.0003802,0.0003802,0.0003802
6,66.915,1.39456,1.63716,1.16714,0.59239,0.3221,0.32839,0.18611,1.52449,1.50857,1.18322,0.00037525,0.00037525,0.00037525
7,77.6995,1.38435,1.5781,1.14672,0.59545,0.30667,0.32896,0.18061,1.52104,1.42682,1.17723,0.0003703,0.0003703,0.0003703
8,88.311,1.36645,1.53107,1.14657,0.45092,0.44789,0.38595,0.22613,1.5175,1.36568,1.16815,0.00036535,0.00036535,0.00036535
9,99.0634,1.34211,1.45231,1.13185,0.59061,0.35754,0.38031,0.21334,1.568,1.41529,1.19173,0.0003604,0.0003604,0.0003604
10,109.362,1.34426,1.43917,1.1342,0.65671,0.32572,0.35133,0.20568,1.46396,1.37229,1.15467,0.00035545,0.00035545,0.00035545
11,119.847,1.31178,1.41259,1.12,0.53411,0.39814,0.36572,0.20722,1.53443,1.3824,1.18508,0.0003505,0.0003505,0.0003505
12,130.348,1.32311,1.36933,1.1193,0.45083,0.43441,0.39521,0.22876,1.46868,1.42805,1.16323,0.00034555,0.00034555,0.00034555
13,140.658,1.32801,1.37367,1.11576,0.59815,0.36489,0.38836,0.23024,1.42631,1.34849,1.14261,0.0003406,0.0003406,0.0003406
