epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7488,1.55529,3.26139,1.20292,0.49199,0.19933,0.16522,0.08924,1.60369,1.94401,1.19151,0.000150769,0.000150769,0.000150769
2,24.8634,1.4787,2.13801,1.19,0.58611,0.22228,0.23004,0.12776,1.63008,1.72126,1.2233,0.000298693,0.000298693,0.000298693
3,35.7526,1.46845,1.94874,1.18715,0.51854,0.25719,0.26309,0.14971,1.56344,1.57999,1.20827,0.000442864,0.000442864,0.000442864
4,46.3571,1.45537,1.82466,1.18822,0.52415,0.27296,0.26529,0.14668,1.59786,1.62657,1.23824,0.000438108,0.000438108,0.000438108
5,57.0688,1.43556,1.70967,1.18039,0.59067,0.2772,0.28708,0.15094,1.63389,1.54043,1.24453,0.000432478,0.000432478,0.000432478
6,68.0606,1.39351,1.6211,1.16723,0.50562,0.33406,0.3104,0.17048,1.53826,1.53169,1.18477,0.000426847,0.000426847,0.000426847
7,78.9866,1.3853,1.55582,1.14587,0.49159,0.32284,0.33517,0.19235,1.526,1.4694,1.17572,0.000421216,0.000421216,0.000421216
8,90.1613,1.37411,1.51338,1.1444,0.42104,0.42458,0.36697,0.20724,1.55502,1.37848,1.18705,0.000415586,0.000415586,0.000415586
9,100.585,1.34123,1.43119,1.13368,0.48497,0.35221,0.35942,0.1979,1.6133,1.46226,1.21623,0.000409955,0.000409955,0.000409955
10,110.968,1.34631,1.42816,1.13173,0.554,0.33764,0.35954,0.21004,1.46038,1.37335,1.1347,0.000404324,0.000404324,0.000404324
11,121.177,1.31717,1.39204,1.12001,0.65368,0.34842,0.36954,0.20575,1.55715,1.352,1.18915,0.000398694,0.000398694,0.000398694
12,131.805,1.32267,1.35381,1.12043,0.41367,0.40211,0.37542,0.22362,1.4308,1.42117,1.14969,0.000393063,0.000393063,0.000393063
13,142.107,1.33251,1.3601,1.11773,0.50115,0.38088,0.40594,0.24206,1.41137,1.32546,1.12671,0.000387433,0.000387433,0.000387433
14,152.739,1.29751,1.30003,1.10932,0.57534,0.37819,0.39667,0.24053,1.38507,1.33864,1.12551,0.000381802,0.000381802,0.000381802
15,163.443,1.31924,1.29665,1.11379,0.59079,0.34406,0.39482,0.22871,1.51306,1.2915,1.16271,0.000376171,0.000376171,0.000376171
16,174.157,1.28808,1.26162,1.10133,0.50811,0.41615,0.41341,0.24655,1.40043,1.2799,1.13599,0.000370541,0.000370541,0.000370541
17,184.859,1.2821,1.23626,1.10448,0.65637,0.34344,0.37323,0.20546,1.57017,1.31275,1.18442,0.00036491,0.00036491,0.00036491
18,195.537,1.301,1.23089,1.10279,0.44931,0.42227,0.4013,0.23894,1.38564,1.28296,1.12622,0.000359279,0.000359279,0.000359279
19,206.16,1.26325,1.20718,1.09093,0.49747,0.36849,0.3912,0.22252,1.45174,1.30574,1.14853,0.000353649,0.000353649,0.000353649
20,217.121,1.25449,1.16202,1.0835,0.67917,0.3584,0.41006,0.23552,1.44777,1.23733,1.12915,0.000348018,0.000348018,0.000348018
21,228.041,1.28877,1.20026,1.09359,0.53452,0.42705,0.38211,0.2203,1.45834,1.25509,1.15093,0.000342387,0.000342387,0.000342387
22,238.708,1.2615,1.15892,1.07723,0.49831,0.35387,0.37687,0.21209,1.4723,1.26505,1.16144,0.000336757,0.000336757,0.000336757
23,249.385,1.25111,1.14184,1.0809,0.53666,0.40975,0.40868,0.23658,1.37046,1.21138,1.11031,0.000331126,0.000331126,0.000331126
24,259.925,1.26096,1.15142,1.07912,0.56016,0.37889,0.41366,0.24505,1.35783,1.19699,1.11332,0.000325496,0.000325496,0.000325496
25,270.572,1.24757,1.1278,1.08018,0.60029,0.42489,0.41216,0.22931,1.51405,1.23734,1.16326,0.000319865,0.000319865,0.000319865
26,281.294,1.2256,1.10871,1.07937,0.66787,0.39594,0.44431,0.2753,1.35431,1.21101,1.10336,0.000314234,0.000314234,0.000314234
27,292.033,1.23529,1.10305,1.0794,0.50562,0.44675,0.43648,0.25777,1.44906,1.25492,1.14369,0.000308604,0.000308604,0.000308604
28,302.675,1.26196,1.11351,1.07786,0.59942,0.41187,0.3997,0.23335,1.42465,1.22266,1.12713,0.000302973,0.000302973,0.000302973
29,313.34,1.22953,1.08027,1.07128,0.53623,0.37193,0.4039,0.23218,1.44733,1.2259,1.13036,0.000297342,0.000297342,0.000297342
30,323.944,1.25818,1.09889,1.08319,0.56663,0.43351,0.40631,0.24275,1.37144,1.21847,1.11405,0.000291712,0.000291712,0.000291712
31,334.577,1.20435,1.05125,1.06892,0.66122,0.33285,0.43248,0.26365,1.32619,1.19335,1.09342,0.000286081,0.000286081,0.000286081
32,345.348,1.21654,1.05406,1.06668,0.54631,0.39521,0.3854,0.21614,1.44188,1.22238,1.14657,0.000280451,0.000280451,0.000280451
33,356.236,1.20671,1.05156,1.06407,0.51911,0.42489,0.40983,0.23776,1.39226,1.19004,1.11183,0.00027482,0.00027482,0.00027482
34,367.13,1.18216,1.02858,1.05374,0.59309,0.38464,0.40514,0.23322,1.37828,1.19063,1.12536,0.000269189,0.000269189,0.000269189
35,377.921,1.18628,1.03059,1.06018,0.69812,0.40478,0.45286,0.27574,1.35078,1.14446,1.10423,0.000263559,0.000263559,0.000263559
36,388.833,1.19714,1.0257,1.05489,0.49837,0.4722,0.42824,0.25347,1.39046,1.18615,1.11833,0.000257928,0.000257928,0.000257928
37,399.253,1.19619,1.02925,1.06113,0.53414,0.40817,0.40618,0.23804,1.38393,1.19207,1.12135,0.000252298,0.000252298,0.000252298
38,409.664,1.18629,1.00354,1.06526,0.55083,0.42147,0.41879,0.23348,1.43894,1.20911,1.14542,0.000246667,0.000246667,0.000246667
39,420.174,1.20308,1.01026,1.05493,0.70637,0.40508,0.45124,0.26714,1.38012,1.19387,1.11689,0.000241036,0.000241036,0.000241036
40,430.622,1.20259,1.02679,1.06712,0.57473,0.41338,0.43068,0.24932,1.4502,1.21054,1.1468,0.000235406,0.000235406,0.000235406
41,441.087,1.18084,0.97794,1.05379,0.69026,0.38757,0.42516,0.25173,1.33486,1.1558,1.10364,0.000229775,0.000229775,0.000229775
42,451.542,1.1739,0.98385,1.04638,0.64396,0.40569,0.42069,0.24512,1.37862,1.18331,1.12002,0.000224144,0.000224144,0.000224144
43,462.113,1.18505,0.97469,1.04705,0.66628,0.39001,0.41657,0.2434,1.35722,1.17114,1.11125,0.000218514,0.000218514,0.000218514
44,472.65,1.17732,0.97308,1.04701,0.61837,0.38381,0.45294,0.27304,1.36776,1.16079,1.11474,0.000212883,0.000212883,0.000212883
45,483.476,1.16276,0.96071,1.03868,0.64957,0.4072,0.43255,0.25323,1.35992,1.13785,1.10507,0.000207252,0.000207252,0.000207252
46,494.056,1.14953,0.94672,1.03963,0.65563,0.4261,0.43384,0.25383,1.41563,1.16424,1.13539,0.000201622,0.000201622,0.000201622
47,504.877,1.16695,0.95558,1.04235,0.66719,0.42137,0.43496,0.25847,1.33011,1.15253,1.09298,0.000195991,0.000195991,0.000195991
48,515.31,1.12734,0.9261,1.0372,0.59341,0.41387,0.42989,0.25288,1.39192,1.16565,1.12197,0.000190361,0.000190361,0.000190361
49,525.999,1.15224,0.94268,1.04028,0.68424,0.40776,0.43951,0.25864,1.34711,1.1552,1.10478,0.00018473,0.00018473,0.00018473
50,536.565,1.13722,0.93965,1.02928,0.5649,0.43021,0.42642,0.24877,1.35854,1.17233,1.10585,0.000179099,0.000179099,0.000179099
51,546.963,1.15748,0.93486,1.0396,0.51073,0.45819,0.42571,0.24426,1.39867,1.14166,1.11619,0.000173469,0.000173469,0.000173469
52,557.558,1.15215,0.91937,1.03651,0.62887,0.42554,0.4244,0.25435,1.35204,1.14411,1.11094,0.000167838,0.000167838,0.000167838
53,568.119,1.14465,0.91513,1.03094,0.60237,0.40227,0.44768,0.26202,1.42192,1.16052,1.12863,0.000162207,0.000162207,0.000162207
54,578.375,1.13803,0.90334,1.03017,0.58245,0.41297,0.45388,0.27152,1.37956,1.16598,1.12293,0.000156577,0.000156577,0.000156577
55,588.963,1.12571,0.89757,1.02995,0.71164,0.38726,0.44087,0.25558,1.41148,1.15974,1.12164,0.000150946,0.000150946,0.000150946
