epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7123,1.5707,3.62395,1.16787,0.3156,0.15744,0.13937,0.08403,1.47428,2.29949,1.13317,0.000150873,0.000150873,0.000150873
2,34.1988,1.5231,2.24563,1.16766,0.41376,0.229,0.2317,0.13848,1.40942,1.676,1.12893,0.000295051,0.000295051,0.000295051
3,48.3556,1.46577,1.92601,1.15884,0.54633,0.23377,0.24998,0.14385,1.48066,1.68011,1.17089,0.000431723,0.000431723,0.000431723
4,62.1799,1.43883,1.79164,1.15089,0.5437,0.25966,0.26286,0.15332,1.43315,1.64526,1.16889,0.000421216,0.000421216,0.000421216
5,76.0413,1.41309,1.68651,1.12974,0.57993,0.31887,0.31679,0.18586,1.42734,1.48009,1.13359,0.000409955,0.000409955,0.000409955
6,90.0026,1.40537,1.61794,1.12146,0.51644,0.30268,0.32006,0.18909,1.40879,1.49867,1.12531,0.000398694,0.000398694,0.000398694
7,103.819,1.38848,1.56388,1.11977,0.56064,0.32973,0.33459,0.19895,1.40669,1.43593,1.12231,0.000387433,0.000387433,0.000387433
8,117.86,1.35476,1.49827,1.10553,0.46047,0.33554,0.33539,0.19613,1.39901,1.4368,1.12889,0.000376171,0.000376171,0.000376171
9,131.645,1.34534,1.45341,1.10661,0.50328,0.36113,0.35159,0.20511,1.37394,1.40719,1.12666,0.00036491,0.00036491,0.00036491
10,145.472,1.33793,1.40157,1.09498,0.51642,0.40916,0.3715,0.21863,1.43678,1.38903,1.14052,0.000353649,0.000353649,0.000353649
11,159.242,1.31163,1.36146,1.0896,0.58341,0.39361,0.38796,0.2357,1.3513,1.34446,1.10762,0.000342387,0.000342387,0.000342387
12,173.034,1.32524,1.34235,1.09133,0.50288,0.33475,0.36062,0.21979,1.35309,1.33494,1.10795,0.000331126,0.000331126,0.000331126
13,186.819,1.29871,1.30573,1.08267,0.57231,0.38875,0.38061,0.22904,1.33822,1.30921,1.10455,0.000319865,0.000319865,0.000319865
14,200.862,1.29201,1.26702,1.0738,0.67014,0.34207,0.38155,0.22748,1.33872,1.28077,1.10417,0.000308604,0.000308604,0.000308604
15,214.632,1.28039,1.24825,1.06733,0.55279,0.37934,0.40475,0.24714,1.35497,1.29766,1.11671,0.000297342,0.000297342,0.000297342
16,228.439,1.26308,1.21238,1.06051,0.65757,0.3664,0.43535,0.26821,1.33299,1.19398,1.09902,0.000286081,0.000286081,0.000286081
17,242.231,1.25418,1.19289,1.05794,0.55925,0.39909,0.44343,0.2777,1.30962,1.22352,1.08532,0.00027482,0.00027482,0.00027482
18,255.997,1.25291,1.1738,1.06166,0.52999,0.41492,0.451,0.27963,1.34181,1.22622,1.10206,0.000263559,0.000263559,0.000263559
19,269.937,1.24078,1.15224,1.05151,0.63099,0.39293,0.43801,0.27372,1.32865,1.22174,1.09311,0.000252298,0.000252298,0.000252298
20,283.682,1.24622,1.14305,1.05109,0.62465,0.40243,0.46672,0.29,1.33544,1.20586,1.09749,0.000241036,0.000241036,0.000241036
21,297.448,1.23601,1.12326,1.05093,0.62907,0.41182,0.45353,0.27575,1.33953,1.2272,1.10496,0.000229775,0.000229775,0.000229775
22,311.189,1.22177,1.10544,1.04573,0.61901,0.4193,0.46156,0.28173,1.31527,1.2321,1.09408,0.000218514,0.000218514,0.000218514
23,324.911,1.20529,1.07627,1.03906,0.65905,0.40243,0.44898,0.27876,1.2985,1.1548,1.07813,0.000207252,0.000207252,0.000207252
24,338.65,1.20135,1.06635,1.04083,0.67493,0.3922,0.43352,0.266,1.30833,1.19669,1.08558,0.000195991,0.000195991,0.000195991
25,352.554,1.18835,1.04368,1.03123,0.57092,0.40959,0.45016,0.27388,1.3199,1.1942,1.09341,0.00018473,0.00018473,0.00018473
26,366.286,1.19792,1.04425,1.03017,0.52311,0.41547,0.44278,0.27341,1.31942,1.19585,1.09022,0.000173469,0.000173469,0.000173469
27,380.01,1.18521,1.02555,1.02421,0.68589,0.40447,0.45934,0.28153,1.31398,1.15473,1.0769,0.000162207,0.000162207,0.000162207
28,393.742,1.17851,1.01066,1.0261,0.55565,0.41984,0.45482,0.27577,1.34106,1.19987,1.09449,0.000150946,0.000150946,0.000150946
29,407.452,1.16875,1.00264,1.02078,0.57264,0.40683,0.44952,0.27659,1.30716,1.14238,1.08148,0.000139685,0.000139685,0.000139685
30,421.399,1.17253,1.00184,1.01856,0.55084,0.44017,0.46274,0.2852,1.29765,1.13508,1.07649,0.000128424,0.000128424,0.000128424
31,435.877,1.16355,0.97054,1.00793,0.5613,0.41049,0.4312,0.26346,1.33731,1.20645,1.09646,0.000117163,0.000117163,0.000117163
32,449.949,1.13915,0.92401,0.99604,0.5886,0.40707,0.45208,0.27994,1.29931,1.15538,1.07948,0.000105901,0.000105901,0.000105901
33,463.803,1.13448,0.9192,0.99572,0.59902,0.39102,0.44297,0.27454,1.30936,1.18153,1.08773,9.464e-05,9.464e-05,9.464e-05
34,477.684,1.12621,0.89485,0.9936,0.60114,0.41205,0.45981,0.28341,1.31652,1.1459,1.09611,8.33788e-05,8.33788e-05,8.33788e-05
35,491.719,1.11796,0.88648,0.99017,0.61449,0.40399,0.46874,0.28873,1.30188,1.13792,1.08071,7.21175e-05,7.21175e-05,7.21175e-05
36,505.249,1.10687,0.86821,0.98408,0.60328,0.40142,0.45123,0.27695,1.329,1.16945,1.09269,6.08563e-05,6.08563e-05,6.08563e-05
37,518.801,1.10061,0.86273,0.98319,0.62626,0.38529,0.45417,0.27715,1.31868,1.17739,1.09385,4.9595e-05,4.9595e-05,4.9595e-05
